id,city_id,followers,following,created_at,updated_at
38326420,0,2,1,2018-04-12,2022-12-09
38478347,,5,0,2018-04-17,2022-04-26
38525892,0,3,8,2018-04-19,2023-02-09
38621369,0,0,0,2018-04-22,2018-07-20
38621405,0,33,31,2018-04-22,2023-05-30
38725549,0,0,0,2018-04-25,2018-04-25
38946066,,1,15,2018-05-03,2024-02-10
39158156,4,0,0,2018-05-10,2018-10-15
39172682,0,7,7,2018-05-10,2023-04-17
39433197,0,0,2,2018-05-19,2023-01-26
39593211,0,0,0,2018-05-24,2020-01-30
39657623,,16,13,2018-05-26,2024-03-24
39722342,,0,2,2018-05-29,2021-07-21
39738870,0,1,0,2018-05-29,2023-01-02
39951469,,2,5,2018-06-05,2023-11-03
39991868,,0,0,2018-06-06,2021-06-02
40000916,0,23,36,2018-06-06,2024-02-21
40174805,,58,49,2018-06-11,2024-02-09
40181269,0,10,5,2018-06-11,2024-03-23
40224762,0,467,27,2018-06-13,2024-03-11
40237204,,17,29,2018-06-13,2024-03-18
40247233,0,0,0,2018-06-13,2022-03-04
40491312,0,1,1,2018-06-22,2024-02-12
40526175,0,0,0,2018-06-23,2022-12-11
40589687,,0,0,2018-06-26,2022-09-26
40593690,8,1,9,2018-06-26,2024-03-13
40625547,,6,5,2018-06-27,2024-02-27
40658328,0,22,13,2018-06-28,2024-03-28
40965041,,0,3,2018-07-08,2024-04-05
41387799,,0,0,2018-07-18,2023-05-26
41474457,0,0,0,2018-07-20,2018-07-20
41486295,,1,1,2018-07-20,2024-04-03
41781294,0,0,0,2018-07-27,2023-10-02
41828713,,4,6,2018-07-28,2024-03-08
41967397,,18,18,2018-07-31,2024-02-02
41967811,0,40,55,2018-07-31,2024-04-04
42029482,,0,0,2018-08-02,2020-08-05
42133050,,0,0,2018-08-06,2024-04-05
42138007,0,3,8,2018-08-06,2023-12-22
42249792,,1,2,2018-08-09,2022-09-18
42283125,,1,4,2018-08-10,2024-03-15
42285178,,1,3,2018-08-11,2024-03-30
42302155,,2,1,2018-08-11,2024-03-05
42326571,0,1,6,2018-08-12,2024-04-03
42369785,0,0,0,2018-08-14,2019-08-02
42444624,0,7,5,2018-08-16,2022-12-01
