id,city_id,followers,following,created_at,updated_at
27702507,0,0,0,2017-04-17,2021-03-25
27731089,0,1,0,2017-04-18,2024-01-16
27733133,,3,14,2017-04-18,2024-02-01
27741772,0,0,0,2017-04-18,2023-10-25
27770901,0,2,1,2017-04-19,2021-06-10
27965287,4,4,9,2017-04-24,2024-02-13
28258862,0,11,15,2017-05-01,2024-02-01
28476353,,0,0,2017-05-06,2024-02-07
28514526,,1,1,2017-05-07,2023-11-07
28622477,,0,0,2017-05-11,2023-06-15
28630297,3,0,0,2017-05-11,2023-03-23
28735704,,5,0,2017-05-16,2024-02-06
28783718,,0,0,2017-05-18,2022-12-01
28859908,0,0,0,2017-05-22,2024-01-02
28985401,,6,53,2017-05-26,2024-01-21
29012453,0,1,1,2017-05-28,2022-03-20
29086237,0,0,0,2017-05-31,2023-01-08
29115076,0,0,0,2017-06-01,2024-02-13
29178934,0,0,1,2017-06-04,2024-02-12
29215043,0,7,0,2017-06-05,2021-10-20
29462510,,0,1,2017-06-15,2024-01-31
29792912,0,0,0,2017-06-30,2022-03-24
29806633,,0,0,2017-06-30,2023-10-25
29928699,0,0,1,2017-07-05,2022-12-26
29987327,,0,0,2017-07-07,2017-07-07
30027374,0,0,0,2017-07-09,2020-09-11
30077420,0,1,0,2017-07-11,2023-07-17
30090160,,0,1,2017-07-11,2023-10-09
30260890,,1,4,2017-07-18,2024-02-07
30470437,0,0,0,2017-07-26,2020-11-30
30502046,0,0,0,2017-07-27,2017-07-27
30517177,,0,1,2017-07-28,2023-10-21
30523874,0,2,2,2017-07-28,2024-02-12
30528631,6,0,1,2017-07-28,2023-06-28
30689866,0,6,3,2017-08-03,2023-07-25
31000619,0,7,1,2017-08-14,2024-02-08
31018799,0,0,0,2017-08-14,2018-04-08
31039500,0,0,2,2017-08-15,2023-06-06
31217604,,4,2,2017-08-21,2024-01-27
31235492,0,12,10,2017-08-22,2023-07-10
31236928,0,32,28,2017-08-22,2023-09-15
31237771,0,13,5,2017-08-22,2023-10-20
31238878,0,29,30,2017-08-22,2024-01-28
31242188,,23,28,2017-08-22,2023-12-22
31246918,0,29,58,2017-08-22,2024-02-09
31260297,0,9,40,2017-08-22,2024-01-26
31282507,6,1,6,2017-08-23,2022-11-12
31302838,0,0,0,2017-08-24,2017-08-24
31362149,0,28,4,2017-08-26,2020-05-19
31407020,,3,3,2017-08-28,2020-09-22
31408474,,31,78,2017-08-28,2024-02-13
31442449,0,10,9,2017-08-29,2019-10-17
31477051,9,2,12,2017-08-30,2020-07-15
31516502,0,0,1,2017-08-31,2023-07-03
31533519,,3,2,2017-09-01,2020-06-05
31686963,,1,1,2017-09-06,2022-10-28
31694259,,1,1,2017-09-06,2021-05-18
31759362,0,0,0,2017-09-08,2024-01-29
31899027,0,4,3,2017-09-12,2024-02-06
31945644,5,5,5,2017-09-14,2024-02-14
31945681,5,1,0,2017-09-14,2022-08-20
31982614,,0,1,2017-09-15,2023-04-25
32058262,0,6,4,2017-09-18,2023-09-20
32066945,0,12,36,2017-09-18,2024-01-27
32170223,0,0,0,2017-09-21,2021-06-03
32215152,0,3,0,2017-09-23,2023-09-18
32295997,0,0,0,2017-09-26,2024-02-08
32304877,10,0,0,2017-09-26,2021-02-08
32305442,0,2,0,2017-09-26,2022-07-12
32402003,0,23,13,2017-09-29,2024-02-11
32419747,0,1,1,2017-09-30,2021-06-15
32432355,10,0,0,2017-10-01,2023-09-28
32514855,0,14,15,2017-10-04,2023-08-08
32597978,0,0,0,2017-10-07,2023-10-09
32665277,0,0,3,2017-10-10,2021-05-07
32742390,0,3,1,2017-10-12,2024-01-25
32770980,0,0,0,2017-10-13,2024-01-19
32927860,0,0,0,2017-10-19,2023-08-29
32933071,,0,0,2017-10-19,2017-10-19
32957616,0,0,0,2017-10-20,2022-05-29
33057315,,0,0,2017-10-24,2024-02-07
33373038,0,2,3,2017-11-04,2023-06-17
33562041,0,6,0,2017-11-11,2023-09-29
33597440,,1,1,2017-11-12,2024-01-07
33627064,,1,2,2017-11-13,2023-09-05
33693074,0,5,3,2017-11-15,2023-02-01
33702490,0,48,47,2017-11-15,2023-12-26
33719430,0,0,1,2017-11-16,2023-01-26
33749746,,0,0,2017-11-17,2017-11-17
33831855,0,17,19,2017-11-20,2024-01-12
33861085,,33,21,2017-11-21,2024-02-06
33871687,,1,0,2017-11-21,2024-02-06
33907720,0,0,0,2017-11-22,2024-01-16
33947391,0,10,1,2017-11-24,2022-09-14
33977992,,25,16,2017-11-25,2024-02-12
33984632,,0,0,2017-11-25,2017-11-25
34067013,,0,0,2017-11-28,2022-06-07
34164669,0,0,1,2017-12-01,2024-01-26
34401880,0,0,0,2017-12-09,2022-08-17
34671981,,0,0,2017-12-19,2023-11-20
34682825,,7,0,2017-12-19,2023-11-10
34716207,0,0,2,2017-12-20,2022-11-23
34800399,,0,0,2017-12-23,2024-01-23
34924212,0,11,13,2017-12-28,2024-01-31
35003387,0,3,0,2018-01-01,2023-07-03
35021899,,0,0,2018-01-02,2021-08-13
35046818,0,10,11,2018-01-02,2024-01-03
35137020,0,6,3,2018-01-05,2023-08-30
35253108,0,0,0,2018-01-09,2020-11-06
35785555,,0,0,2018-01-24,2019-11-21
35900188,0,0,1,2018-01-28,2023-09-20
35953505,,1,0,2018-01-30,2023-06-16
36140262,,0,3,2018-02-04,2021-03-23
36192225,,0,2,2018-02-06,2024-01-02
36200227,0,0,0,2018-02-06,2023-09-27
36237054,,10,18,2018-02-07,2024-01-19
36265803,0,0,1,2018-02-08,2024-02-14
36325257,,9,6,2018-02-10,2024-01-26
36434948,,0,4,2018-02-13,2020-11-19
36468354,0,0,0,2018-02-14,2021-12-21
36483200,0,0,0,2018-02-14,2023-01-10
36505998,3,2,3,2018-02-15,2023-11-20
36619381,,0,0,2018-02-19,2022-12-15
36689259,,0,0,2018-02-21,2018-02-22
36806251,,0,0,2018-02-25,2024-01-07
36819440,0,0,0,2018-02-25,2023-06-08
36850693,0,1,0,2018-02-26,2024-01-28
36881559,,6,18,2018-02-27,2024-02-13
36961083,0,0,0,2018-03-01,2023-08-07
37018899,0,0,0,2018-03-03,2022-05-04
37202115,0,0,0,2018-03-09,2018-03-09
37243873,,54,26,2018-03-10,2024-01-30
37272945,0,16,0,2018-03-11,2020-11-20
37326584,1,1,5,2018-03-13,2023-02-06
37329682,,0,0,2018-03-13,2018-04-10
37635729,0,67,165,2018-03-21,2024-01-17
37686832,,3,11,2018-03-23,2023-06-06
37707479,0,13,16,2018-03-23,2023-12-28
37711548,0,0,0,2018-03-23,2021-07-21
37825988,1,0,0,2018-03-27,2022-12-20
38020305,0,53,30,2018-04-02,2024-01-25
38070519,0,5,4,2018-04-04,2023-10-22
38094400,,1,2,2018-04-05,2022-06-23
38291490,,16,25,2018-04-11,2023-11-21
38292962,,1,11,2018-04-11,2023-09-05
38326420,0,2,1,2018-04-12,2022-12-09
38478347,,5,0,2018-04-17,2022-04-26
38525892,0,3,8,2018-04-19,2023-02-09
38621369,0,0,0,2018-04-22,2018-07-20
38621405,0,33,31,2018-04-22,2023-05-30
38725549,0,0,0,2018-04-25,2018-04-25
38946066,,1,15,2018-05-03,2024-02-10
39158156,4,0,0,2018-05-10,2018-10-15
39172682,0,7,7,2018-05-10,2023-04-17
39433197,0,0,2,2018-05-19,2023-01-26
39593211,0,0,0,2018-05-24,2020-01-30
39657623,,15,13,2018-05-26,2024-02-08
39722342,,0,2,2018-05-29,2021-07-21
39738870,0,1,0,2018-05-29,2023-01-02
39951469,,2,5,2018-06-05,2023-11-03
39991868,,0,0,2018-06-06,2021-06-02
40000916,0,24,37,2018-06-06,2024-01-24
40174805,,60,49,2018-06-11,2024-02-09
40181269,0,10,5,2018-06-11,2024-01-19
40224762,0,470,32,2018-06-13,2023-12-18
40237204,,15,29,2018-06-13,2024-02-14
40247233,0,0,0,2018-06-13,2022-03-04
40491312,0,1,1,2018-06-22,2024-02-12
40526175,0,0,0,2018-06-23,2022-12-11
40589687,,0,0,2018-06-26,2022-09-26
40593690,8,1,9,2018-06-26,2024-02-08
40625547,,6,5,2018-06-27,2024-01-25
40658328,0,22,13,2018-06-28,2024-01-09
40965041,,0,3,2018-07-08,2024-01-04
41387799,,0,0,2018-07-18,2023-05-26
41474457,0,0,0,2018-07-20,2018-07-20
41486295,,1,1,2018-07-20,2024-01-19
41781294,0,0,0,2018-07-27,2023-10-02
41828713,,4,6,2018-07-28,2024-01-08
41967397,,19,19,2018-07-31,2024-02-02
41967811,0,42,56,2018-07-31,2024-02-11
42029482,,0,0,2018-08-02,2020-08-05
42133050,,0,0,2018-08-06,2023-09-13
42138007,0,4,8,2018-08-06,2023-12-22
42249792,,1,2,2018-08-09,2022-09-18
42283125,,1,4,2018-08-10,2024-01-06
42285178,,1,3,2018-08-11,2024-02-02
42302155,,2,1,2018-08-11,2023-10-05
42326571,0,1,6,2018-08-12,2023-12-30
42369785,0,0,0,2018-08-14,2019-08-02
42444624,0,8,5,2018-08-16,2022-12-01
42444957,0,39,57,2018-08-16,2024-01-11
42467511,0,10,4,2018-08-17,2020-04-05
42467879,0,25,58,2018-08-17,2023-04-19
42474200,0,7,5,2018-08-17,2024-02-12
42480265,0,31,50,2018-08-17,2022-09-26
42482463,0,11,29,2018-08-17,2023-11-20
42514329,,0,0,2018-08-19,2018-09-22
42523503,0,8,16,2018-08-19,2023-04-22
42525101,0,21,3,2018-08-20,2023-09-21
42549629,,4,14,2018-08-20,2023-03-29
42620788,,0,0,2018-08-22,2023-07-21
42754835,0,4,4,2018-08-27,2024-02-01
43109400,0,0,0,2018-09-09,2021-11-19
43118662,,0,0,2018-09-09,2018-09-09
43201355,0,0,0,2018-09-12,2018-09-12
43210563,,0,0,2018-09-12,2024-01-10
43370602,,6,9,2018-09-18,2024-02-08
43378132,0,0,0,2018-09-18,2020-04-14
43734209,0,5,10,2018-10-01,2024-02-05
43747467,,32,19,2018-10-01,2024-02-14
43817914,,0,0,2018-10-03,2023-02-27
43821098,,5,14,2018-10-03,2023-11-09
43821186,0,17,27,2018-10-03,2024-02-02
43821712,0,12,15,2018-10-03,2023-08-26
43958695,,44,81,2018-10-08,2024-02-11
43968882,0,0,0,2018-10-08,2022-06-08
43994481,0,7,3,2018-10-09,2023-12-29
44169298,0,2,0,2018-10-15,2023-12-27
44199686,,3,3,2018-10-16,2023-10-12
44263333,0,0,3,2018-10-18,2023-09-26
44263403,0,0,0,2018-10-18,2023-09-02
44291462,,0,0,2018-10-19,2023-08-10
44292931,0,7,9,2018-10-19,2024-01-26
44316750,,1,1,2018-10-20,2023-06-29
44390449,0,0,0,2018-10-23,2018-12-22
44422949,0,0,2,2018-10-24,2023-09-11
44497540,0,1,0,2018-10-26,2024-02-07
44563964,0,16,6,2018-10-29,2024-02-03
44651421,0,4,2,2018-10-31,2024-01-25
44772199,,4,5,2018-11-05,2024-02-12
44864959,0,8,8,2018-11-08,2023-03-22
45214105,0,3,4,2018-11-20,2019-05-15
45265091,0,3,1,2018-11-22,2019-02-13
45293066,0,5,6,2018-11-23,2024-02-02
45297854,0,0,0,2018-11-23,2018-11-23
45578804,,3,6,2018-12-03,2024-02-13
45593347,0,17,6,2018-12-04,2024-01-31
45792465,0,0,0,2018-12-11,2023-10-30
45899321,2,0,1,2018-12-15,2022-05-06
46009152,5,3,0,2018-12-19,2022-08-31
46033905,,0,0,2018-12-20,2021-01-13
46064302,0,1,1,2018-12-22,2022-09-07
46064379,0,0,0,2018-12-22,2020-09-02
46070272,0,0,1,2018-12-22,2021-08-29
46302322,0,19,10,2019-01-01,2024-01-24
46322274,,82,94,2019-01-02,2024-01-22
46411490,,5,8,2019-01-06,2024-01-18
46556049,,4,14,2019-01-10,2021-03-23
46570027,8,1,3,2019-01-10,2023-08-02
46646020,,0,0,2019-01-13,2019-04-02
46673118,6,1,5,2019-01-14,2021-07-14
46774978,,0,0,2019-01-17,2019-03-31
47160679,,0,0,2019-01-29,2023-04-27
47382637,,1,0,2019-02-06,2023-07-05
47387872,,0,0,2019-02-06,2019-02-06
47447576,0,2,2,2019-02-08,2024-01-20
